#,Patient Code,PAT id(SSAM),Accession,Name,Subtype,Country,Sampling Year,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
63,ML1901,27715,EU110095,ML1901PCR2,A1,KENYA,2001,668,9588,8943,HIV-1
64,ML1990,27717,EU110097,ML1990PCR,A1,KENYA,2002,670,9596,8942,HIV-1
65,CY022,32478,FJ388893,CY022,A1,CYPRUS,2005,790,8930,8201,HIV-1
66,CY023,32479,FJ388894,CY023,A1,CYPRUS,2005,790,8930,8200,HIV-1
67,CY051,32490,FJ388903,CY051,A1,CYPRUS,2005,790,8930,8171,HIV-1
68,CY064,32484,FJ388909,CY064,A1,CYPRUS,2005,790,8930,8211,HIV-1
69,CY106,32486,FJ388925,CY106,A1,CYPRUS,2005,790,8930,8170,HIV-1
70,CY121,32470,FJ388932,CY121,A1,CYPRUS,2005,790,8930,8195,HIV-1
71,CY140,32496,FJ388938,CY140,A1,CYPRUS,2005,790,8930,8171,HIV-1
72,CY153,29285,FJ388942,CY153,A1,CYPRUS,2005,790,8930,8147,HIV-1
73,CY154,32467,FJ388943,CY154,A1,CYPRUS,2006,790,8930,8197,HIV-1
74,CY164,32513,FJ388946,CY164,A1,CYPRUS,2006,790,8930,8149,HIV-1
75,Cst_006,35931,FJ623475,06KECst_006,A1,KENYA,2006,789,9496,8712,HIV-1
76,Cst_007,35932,FJ623476,06KECst_007,A1,KENYA,2006,789,9496,8697,HIV-1
77,Cst_021,35945,FJ623477,06KECst_021,A1,KENYA,2006,789,9496,8718,HIV-1
78,Cst_019,35943,FJ623478,06KECst_019,A1,KENYA,2006,789,9421,8663,HIV-1
79,Cst_028,35950,FJ623479,06KECst_028,A1,KENYA,2006,789,9496,8718,HIV-1
80,Cst_009,35934,FJ623480,06KECst_009,A1,KENYA,2006,789,9496,8694,HIV-1
81,Cst_005,35930,FJ623481,06KECst_005,A1,KENYA,2006,789,9496,8766,HIV-1
82,Cst_020,35944,FJ623482,06KECst_020,A1,KENYA,2006,789,9496,8718,HIV-1
83,Cst_016,35940,FJ623483,06KECst_016,A1,KENYA,2006,789,9497,8730,HIV-1
84,Cst_022,35946,FJ623484,06KECst_022,A1,KENYA,2006,789,9496,8751,HIV-1
85,Cst_013,35937,FJ623485,06KECst_013,A1,KENYA,2006,789,9496,8715,HIV-1
86,Cst_025,35948,FJ623486,06KECst_025,A1,KENYA,2006,789,9496,8688,HIV-1
87,Cst_001,35928,FJ623487,06KECst_001,A1,KENYA,2006,789,9496,8762,HIV-1
88,Cst_017,35941,FJ623488,06KECst_017,A1,KENYA,2006,789,9496,8744,HIV-1
89,X1608,35962,FJ670519,X1608-8,A1,SPAIN,2005,546,9508,9017,HIV-1
90,X2110,35967,FJ670523,X2110,A1,SPAIN,2006,757,9508,8774,HIV-1
91,CY182,40233,JF683737,CY182,A1,CYPRUS,2007,790,8930,8117,HIV-1
92,CY207,40204,JF683759,CY207,A1,CYPRUS,2007,790,8930,8147,HIV-1
93,CY208,40208,JF683760,CY208,A1,CYPRUS,2007,790,8930,8147,HIV-1
94,CY209,40242,JF683761,CY209,A1,CYPRUS,2007,790,8930,8162,HIV-1
95,CY218,40261,JF683767,CY218,A1,CYPRUS,2008,790,8930,8225,HIV-1
96,CY230,40276,JF683779,CY230,A1,CYPRUS,2008,790,8930,8183,HIV-1
97,CY235,40225,JF683782,CY235,A1,CYPRUS,2008,790,8930,8156,HIV-1
98,CY236,40214,JF683783,CY236,A1,CYPRUS,2008,790,8930,8168,HIV-1
99,CY243,40248,JF683789,CY243,A1,CYPRUS,2009,790,8953,8213,HIV-1
100,,,JQ403028,HIV_CH_BID-V3538_2003,A1,SWITZERLAND,2003,790,9534,8750,HIV-1
101,X1608,35962,JX140650,DEMA105TZ001,A1,SPAIN,2005,632,9613,8941,HIV-1
102,X2110,35967,JX140651,DEMA106ES002,A1,SPAIN,2006,754,9597,8865,HIV-1
103,191084,51710,JX236669,p191084,A1,UGANDA,2007,1,9719,9701,HIV-1
104,191845,51693,JX236671,p191845,A1,UGANDA,2007,1,9719,9854,HIV-1
105,9004,50803,JX236676,p9004SDM,A1,UGANDA,2007,1,9719,9725,HIV-1
106,R463F,51712,JX236677,pR463F,A1,RWANDA,2007,1,9719,9739,HIV-1
107,R880F,51709,JX236678,pR880F,A1,RWANDA,2007,1,9719,9729,HIV-1
108,9004,50803,KC596070,DEMA07UG005,A1,UGANDA,2007,635,9598,8974,HIV-1
109,00C175098,61393,KF716472,DEMA111RW002,A1,RWANDA,2011,644,9598,9033,HIV-1
110,00C210095,61394,KF716474,DEMA111KE002,A1,KENYA,2011,629,9599,8991,HIV-1
111,C210093,61306,KF716475,DEMA11KE001,A1,KENYA,2011,650,9599,9015,HIV-1
112,00C191769,61395,KF716478,DEMA109UG001,A1,UGANDA,2009,629,9585,8982,HIV-1
113,275043,61378,KF716486,DEMA110UG009,A1,UGANDA,2011,649,9602,8948,HIV-1
114,R880F,51709,KF716499,DEMA03RW001,A1,RWANDA,2003,647,9601,8966,HIV-1
115,191084,51710,KF716500,DEMA03UG002,A1,UGANDA,2007,639,9599,8933,HIV-1
116,C275036,61307,KF859745,DEMA110UG001,A1,UGANDA,2011,635,9596,8956,HIV-1
117,R463F,51712,KJ190253,R463F_030907_FL28,A1,RWANDA,2007,581,9472,8914,HIV-1
118,R463F,51712,KJ190254,R463F_030907_FL39,A1,RWANDA,2007,581,9603,9044,HIV-1
119,R463F,51712,KJ190256,R463F_030907_FL49,A1,RWANDA,2007,581,9603,9043,HIV-1
120,R463F,51712,KJ190257,R463F_030907_FL55,A1,RWANDA,2007,581,9603,9042,HIV-1
121,R463F,51712,KJ190258,R463F_030907_FL64,A1,RWANDA,2007,581,9603,9045,HIV-1
122,R463F,51712,KJ190259,R463F_030907_FL65,A1,RWANDA,2007,581,9603,9043,HIV-1
123,R463F,51712,KJ190260,R463F_030907_FL70,A1,RWANDA,2007,581,9603,9045,HIV-1
124,R463F,51712,KJ190261,R463F_030907_FL71,A1,RWANDA,2007,581,9603,9044,HIV-1
125,R463F,51712,KJ190262,R463F_030907_FL74,A1,RWANDA,2007,581,9603,9044,HIV-1
126,R880F,51709,KJ190263,R880FPB_A17,A1,RWANDA,2007,582,9605,9035,HIV-1
127,R880F,51709,KJ190264,R880FPB_A18,A1,RWANDA,2007,582,9605,9035,HIV-1
128,R880F,51709,KJ190265,R880FPB_A2,A1,RWANDA,2007,582,9605,9035,HIV-1
129,R880F,51709,KJ190266,R880FPB_A22,A1,RWANDA,2007,582,9605,9035,HIV-1
130,R880F,51709,KJ190267,R880FPB_A7,A1,RWANDA,2007,582,9605,9035,HIV-1
131,R880F,51709,KJ190268,R880FPB_D12,A1,RWANDA,2007,582,9605,9035,HIV-1
132,R880F,51709,KJ190269,R880FPL_A6,A1,RWANDA,2007,582,9605,9035,HIV-1
133,R880F,51709,KJ190270,R880FPL_A7,A1,RWANDA,2007,582,9605,8940,HIV-1
134,R880F,51709,KJ190271,R880FPL_A9,A1,RWANDA,2007,582,9605,9035,HIV-1
135,R880F,51709,KJ190273,R880FPL_B24,A1,RWANDA,2007,582,9605,9035,HIV-1
136,R880F,51709,KJ190274,R880FPL_C12,A1,RWANDA,2007,582,9605,9035,HIV-1
137,TV096,27754,KJ948658,TV096,A1,SOUTH AFRICA,2000,796,8795,8009,HIV-1
138,270909,78308,KP109490,DEMA109UG017,A1,UGANDA,2009,680,9597,8921,HIV-1
139,R463F,51712,KP109528,DEMA07RW002,A1,RWANDA,2007,638,9598,8983,HIV-1
140,R463F,51712,KP223729,R463FPB_d19_C13,A1,RWANDA,2007,661,9525,8864,HIV-1
141,R463F,51712,KP223730,R463FPB_d19_C23,A1,RWANDA,2007,661,9525,8864,HIV-1
142,R463F,51712,KP223731,R463FPB_d19_C26,A1,RWANDA,2007,661,9525,8864,HIV-1
143,R463F,51712,KP223732,R463FPB_d19_C7,A1,RWANDA,2007,661,9525,8864,HIV-1
144,R463F,51712,KP223733,R463FPL_d179_A21,A1,RWANDA,2007,661,9525,8845,HIV-1
145,R463F,51712,KP223734,R463FPL_d179_A9,A1,RWANDA,2007,661,9525,8847,HIV-1
146,R463F,51712,KP223735,R463FPL_d179_B11,A1,RWANDA,2007,661,9525,8841,HIV-1
147,R463F,51712,KP223736,R463FPL_d179_B24,A1,RWANDA,2007,661,9525,8862,HIV-1
148,R463F,51712,KP223737,R463FPL_d179_B28,A1,RWANDA,2007,661,9525,8864,HIV-1
149,R463F,51712,KP223738,R463FPL_d179_C19,A1,RWANDA,2007,661,9548,8867,HIV-1
150,R463F,51712,KP223739,R463FPL_d179_C22,A1,RWANDA,2007,661,9525,8863,HIV-1
151,R463F,51712,KP223740,R463FPL_d179_C4,A1,RWANDA,2007,661,9525,8782,HIV-1
152,R463F,51712,KP223741,R463FPL_d19_C25,A1,RWANDA,2007,661,9525,8864,HIV-1
153,R463F,51712,KP223742,R463FPL_d19_C9,A1,RWANDA,2007,661,9525,8864,HIV-1
154,R463F,51712,KP223743,R463FPL_d19_E17,A1,RWANDA,2007,661,9525,8864,HIV-1
155,R463F,51712,KP223744,R463FPL_d19_E20,A1,RWANDA,2007,661,9525,8864,HIV-1
156,R463F,51712,KP223745,R463FPL_d19_E31,A1,RWANDA,2007,661,9525,8864,HIV-1
157,R463F,51712,KP223746,R463FPL_d19_E35,A1,RWANDA,2007,661,9525,8864,HIV-1
158,R463F,51712,KP223747,R463FPL_d19_E42,A1,RWANDA,2007,661,9525,8864,HIV-1
159,R463F,51712,KP223748,R463FPL_d19_E43,A1,RWANDA,2007,661,9525,8864,HIV-1
160,R463F,51712,KP223749,R463FPL_d19_E44,A1,RWANDA,2007,661,9525,8864,HIV-1
161,R463F,51712,KP223750,R463FPL_d19_E58,A1,RWANDA,2007,661,9525,8864,HIV-1
162,R463F,51712,KP223751,R463FPL_d248_C1,A1,RWANDA,2007,661,9525,8864,HIV-1
163,R463F,51712,KP223752,R463FPL_d248_C10,A1,RWANDA,2007,661,9525,8872,HIV-1
164,R463F,51712,KP223753,R463FPL_d248_C11,A1,RWANDA,2007,661,9525,8873,HIV-1
165,R463F,51712,KP223754,R463FPL_d248_C18,A1,RWANDA,2007,661,9525,8863,HIV-1
166,R463F,51712,KP223755,R463FPL_d248_C5,A1,RWANDA,2007,661,9525,8873,HIV-1
167,R463F,51712,KP223756,R463FPL_d248_D10,A1,RWANDA,2007,661,9525,8866,HIV-1
168,R463F,51712,KP223757,R463FPL_d248_D20,A1,RWANDA,2007,661,9525,8862,HIV-1
169,R463F,51712,KP223758,R463FPL_d248_D5,A1,RWANDA,2007,661,9525,8863,HIV-1
170,R463F,51712,KP223759,R463FPL_d333_A9,A1,RWANDA,2008,661,9525,8879,HIV-1
171,R463F,51712,KP223760,R463FPL_d333_B16,A1,RWANDA,2008,661,9525,8870,HIV-1
172,R463F,51712,KP223761,R463FPL_d333_B2,A1,RWANDA,2008,661,9525,8867,HIV-1
173,R463F,51712,KP223762,R463FPL_d333_B29,A1,RWANDA,2008,661,9525,8873,HIV-1
174,R463F,51712,KP223763,R463FPL_d333_B30,A1,RWANDA,2008,661,9525,8852,HIV-1
175,R463F,51712,KP223765,R463FPL_d333_B4,A1,RWANDA,2008,661,9525,8867,HIV-1
176,R463F,51712,KP223766,R463FPL_d333_B60,A1,RWANDA,2008,661,9525,8868,HIV-1
177,R463F,51712,KP223767,R463FPL_d333_B8,A1,RWANDA,2008,661,9525,8866,HIV-1
178,R463F,51712,KP223768,R463FPL_d60_A10,A1,RWANDA,2007,661,9525,8864,HIV-1
179,R463F,51712,KP223769,R463FPL_d60_A15,A1,RWANDA,2007,661,9525,8864,HIV-1
180,R463F,51712,KP223770,R463FPL_d60_A28,A1,RWANDA,2007,661,9525,8864,HIV-1
181,R463F,51712,KP223771,R463FPL_d60_A3,A1,RWANDA,2007,661,9525,8864,HIV-1
182,R463F,51712,KP223772,R463FPL_d60_A31,A1,RWANDA,2007,661,9525,8864,HIV-1
183,R463F,51712,KP223773,R463FPL_d60_A32,A1,RWANDA,2007,661,9525,8864,HIV-1
184,R463F,51712,KP223774,R463FPL_d60_B10,A1,RWANDA,2007,661,9525,8864,HIV-1
185,R463F,51712,KP223775,R463FPL_d60_B30,A1,RWANDA,2007,661,9525,8864,HIV-1
186,R463M,78187,KP223776,R463MPL_A11,A1,RWANDA,2007,661,9525,8889,HIV-1
187,R463M,78187,KP223777,R463MPL_C1,A1,RWANDA,2007,661,9525,8889,HIV-1
188,R463M,78187,KP223778,R463MPL_D6,A1,RWANDA,2007,661,9525,8889,HIV-1
189,R463M,78187,KP223779,R463MPL_I17,A1,RWANDA,2007,661,9525,8889,HIV-1
190,R463M,78187,KP223780,R463MPL_I25,A1,RWANDA,2007,661,9525,8889,HIV-1
191,R463M,78187,KP223781,R463MPL_I32,A1,RWANDA,2007,661,9525,8889,HIV-1
192,R880F,51709,KP223797,R880FPL_d157_A12,A1,RWANDA,2007,582,9605,9030,HIV-1
193,R880F,51709,KP223799,R880FPL_d157_B8,A1,RWANDA,2007,582,9605,9035,HIV-1
194,R880F,51709,KP223815,R880FPL_d241_A23,A1,RWANDA,2007,568,9644,8995,HIV-1
195,R880F,51709,KP223835,R880FPL_d73_A23,A1,RWANDA,2007,582,9605,9035,HIV-1
196,R880F,51709,KP223836,R880FPL_d73_A24,A1,RWANDA,2007,582,9605,9035,HIV-1
197,R880F,51709,KP223837,R880FPL_d73_A3,A1,RWANDA,2007,582,9605,9035,HIV-1
198,R880F,51709,KP223838,R880FPL_d73_A9,A1,RWANDA,2007,582,9605,9035,HIV-1
199,R880F,51709,KP223839,R880FPL_d73_B1,A1,RWANDA,2007,582,9605,9037,HIV-1
200,R880F,51709,KP223840,R880FPL_d73_B12,A1,RWANDA,2007,582,9605,9035,HIV-1
201,R880F,51709,KP223841,R880FPL_d73_B18,A1,RWANDA,2007,582,9605,9035,HIV-1
202,R880F,51709,KP223842,R880FPL_d73_B31,A1,RWANDA,2007,582,9605,9035,HIV-1
203,R880F,51709,KP223843,R880FPL_d73_B4,A1,RWANDA,2007,582,9605,9026,HIV-1
204,R880M,78186,KP223844,R880_MPL_C11,A1,RWANDA,2007,582,9605,9098,HIV-1
205,R880M,78186,KP223845,R880_MPL_D2,A1,RWANDA,2007,582,9605,9038,HIV-1
206,R880M,78186,KP223846,R880_MPL_E17,A1,RWANDA,2007,582,9605,9012,HIV-1
207,R880M,78186,KP223847,R880_MPL_F5,A1,RWANDA,2007,582,9605,9029,HIV-1
208,R880M,78186,KP223848,R880_MPL_F53,A1,RWANDA,2007,582,9605,9068,HIV-1
209,R880M,78186,KP223849,R880_MPL_F59,A1,RWANDA,2007,582,9605,9068,HIV-1
210,R880M,78186,KP223850,R880_MPL_F62,A1,RWANDA,2007,582,9605,9037,HIV-1
211,R880M,78186,KP223851,R880_MPL_G33,A1,RWANDA,2007,582,9605,9035,HIV-1
212,R880M,78186,KP223852,R880_MPL_G58,A1,RWANDA,2007,582,9605,9037,HIV-1
213,R880M,78186,KP223853,R880_MPL_G59,A1,RWANDA,2007,582,9605,9036,HIV-1
214,R880M,78186,KP223854,R880_MPL_H29,A1,RWANDA,2007,582,9605,9042,HIV-1
215,46_10,89951,KP718918,46-10,A1,CAMEROON,2007,569,9435,8852,HIV-1
216,886_24,89964,KP718928,886-24,A1,CAMEROON,2008,531,9708,9166,HIV-1
217,,,KT022360,04KE169579V3,A1,KENYA,2004,789,9496,8728,HIV-1
218,,,KT022361,04KE263806V2,A1,KENYA,2004,789,9496,8685,HIV-1
219,,,KT022363,04KE354207V3,A1,KENYA,2004,789,9496,8700,HIV-1
220,,,KT022364,04KE378531V2,A1,KENYA,2004,789,9496,8730,HIV-1
221,,,KT022365,04KE406723V2,A1,KENYA,2004,789,9496,8768,HIV-1
222,,,KT022367,04KE649309V2,A1,KENYA,2004,789,9496,8691,HIV-1
223,,,KT022368,04KE809842V2,A1,KENYA,2004,789,9496,8715,HIV-1
224,,,KT022369,04KE860822V3,A1,KENYA,2004,789,9496,8725,HIV-1
225,,,KT022370,05KE185405V4,A1,KENYA,2005,789,9496,8705,HIV-1
226,,,KT022372,05KE376579V4,A1,KENYA,2005,789,9496,8731,HIV-1
227,,,KT022373,05KE520997V4,A1,KENYA,2005,789,9496,8714,HIV-1
228,,,KT022374,05KE607907V4,A1,KENYA,2005,789,9496,8748,HIV-1
229,,,KT022375,05KE643439V4,A1,KENYA,2005,789,9496,8684,HIV-1
230,,,KT022376,05KE851891V4,A1,KENYA,2005,789,9496,8717,HIV-1
231,,,KT022377,05KE884468V5,A1,KENYA,2005,789,9496,8749,HIV-1
232,,,KT022378,06KE196199V6,A1,KENYA,2006,789,9496,8757,HIV-1
233,,,KT022380,06KE335214V6,A1,KENYA,2006,789,9496,8724,HIV-1
234,,,KT022381,06KE404877V7,A1,KENYA,2006,789,9496,8727,HIV-1
235,,,KT022382,06KE452693V6,A1,KENYA,2006,789,9496,8670,HIV-1
236,,,KT022383,06KE661996V6,A1,KENYA,2006,789,9496,8697,HIV-1
237,,,KT022384,06KE795643V7,A1,KENYA,2006,789,9496,8714,HIV-1
238,IVC19,81777,KT152839,NARI-FLS_IVC19-1,A1,INDIA,2009,140,9574,9497,HIV-1
239,VB6,81783,KT152840,NARI-FLS_VB6,A1,INDIA,1997,1,9521,9555,HIV-1
240,VB11,81781,KT152841,NARI-FLS_VB11,A1,INDIA,1999,776,9417,8616,HIV-1
241,VB15,81785,KT152842,NARI-FLS_VB15,A1,INDIA,1999,1,9574,9645,HIV-1
242,VB81,81780,KT152843,NARI-FLS_VB81-4,A1,INDIA,1999,645,9632,8968,HIV-1
243,VB81,81780,KT152844,NARI-FLS_VB81-12,A1,INDIA,1999,645,9632,8976,HIV-1
244,VB81,81780,KT152845,NARI-FLS_VB81-13,A1,INDIA,1999,645,9632,8974,HIV-1
245,VB99,81778,KT152846,NARI-FLS_VB99-30,A1,INDIA,2000,645,9633,8963,HIV-1
246,VB99,81778,KT152847,NARI-FLS_VB99-35,A1,INDIA,2000,645,9561,8870,HIV-1
247,503_15344_CT533,82822,KT183312,503_15344_T10_A1,A1,SOUTH AFRICA,2004,790,9417,8688,HIV-1
248,503_15344_CT533,82822,KT183313,503_15344_T23b_A1,A1,SOUTH AFRICA,2004,790,9417,8688,HIV-1
249,503_15344_CT533,82822,KT183314,503_15344_T33_A1,A1,SOUTH AFRICA,2004,790,9417,8688,HIV-1
250,503_15344_CT533,82822,KT183315,503_15344_T38_A1,A1,SOUTH AFRICA,2004,790,9417,8682,HIV-1
251,503_15344_CT533,82822,KT183316,503_15344_T3_A1,A1,SOUTH AFRICA,2004,790,9417,8687,HIV-1
252,AlPr,87933,KU168256,LA01AlPr,A1,DEM REP OF CONGO,2002,1,9719,9786,HIV-1
253,54_7,87423,KU168305,CM54-7,A1,CAMEROON,2003,1,9638,9644,HIV-1
254,PK001,99402,KU749409,DEMA114PK001,A1,PAKISTAN,2014,492,9685,9193,HIV-1
255,PK002,99403,KU749410,DEMA114PK002,A1,PAKISTAN,2014,522,9571,9059,HIV-1
256,PK013,99404,KU749411,DEMA114PK013,A1,PAKISTAN,2014,508,9683,9182,HIV-1
257,00C175014,99513,KU749423,DEMA106RW003,A1,RWANDA,2006,639,9632,9011,HIV-1
258,00C175065,99522,KU749424,DEMA108RW010,A1,RWANDA,2008,639,9630,9077,HIV-1
259,,,KX228810,Read30_HIV_A1,A1,UGANDA,2010,789,9602,8735,HIV-1
260,,,KX228815,Read35_HIV_A1,A1,TANZANIA,2005,789,9602,8745,HIV-1
261,PK001,99402,KX232594,PK001,A1,PAKISTAN,2014,401,9695,9302,HIV-1
262,PK002,99403,KX232595,PK002,A1,PAKISTAN,2014,570,9719,9171,HIV-1
263,PK004,101855,KX232597,PK004,A1,PAKISTAN,2014,539,9719,9184,HIV-1
264,PK007,101860,KX232600,PK007,A1,PAKISTAN,2014,649,9708,9076,HIV-1
265,PK013,99404,KX232606,PK013,A1,PAKISTAN,2014,537,9570,9021,HIV-1
266,PK014,101864,KX232607,PK014,A1,PAKISTAN,2014,529,9656,9148,HIV-1
267,PK016,101854,KX232609,PK016,A1,PAKISTAN,2014,494,9568,9080,HIV-1
268,PK017,101865,KX232610,PK017,A1,PAKISTAN,2014,501,9570,9072,HIV-1
269,PK018,101861,KX232611,PK018,A1,PAKISTAN,2014,501,9571,9068,HIV-1
270,PK020,101852,KX232613,PK020,A1,PAKISTAN,2014,528,9719,9194,HIV-1
271,PK021,101869,KX232614,PK021,A1,PAKISTAN,2015,563,9627,9078,HIV-1
272,PK026,101845,KX232618,PK026,A1,PAKISTAN,2015,243,9706,9439,HIV-1
273,PK027,101842,KX232619,PK027,A1,PAKISTAN,2014,535,9704,9156,HIV-1
274,PK030,101867,KX232620,PK030,A1,PAKISTAN,2015,536,9656,9165,HIV-1
275,PK031,101863,KX232621,PK031,A1,PAKISTAN,2015,603,9551,9007,HIV-1
276,PK034,101841,KX232624,PK034,A1,PAKISTAN,2015,398,9571,9171,HIV-1
277,PK036,101859,KX232626,PK036,A1,PAKISTAN,2015,547,9571,9009,HIV-1
278,272,100923,KX907336,CO0272V4,A1,TANZANIA,2004,789,9496,8666,HIV-1
279,260,35302,KX907341,CO0260V5,A1,TANZANIA,2005,796,9496,8743,HIV-1
280,330,61242,KX907343,CO0330V4,A1,TANZANIA,2004,796,9496,8710,HIV-1
281,434,100883,KX907346,CO0434V7,A1,TANZANIA,2006,789,9496,8712,HIV-1
282,439,61244,KX907347,CO0439V5,A1,TANZANIA,2005,789,9496,8744,HIV-1
283,543,100959,KX907348,CO0543V2,A1,TANZANIA,2003,796,9437,8675,HIV-1
284,783,35252,KX907352,CO0783V0,A1,TANZANIA,2002,796,9496,8711,HIV-1
285,3083,100905,KX907364,CO3083V4,A1,TANZANIA,2005,796,9496,8732,HIV-1
286,3365,61248,KX907372,CO3365V2,A1,TANZANIA,2004,796,9496,8696,HIV-1
287,3504,61507,KX907378,CO3504V7,A1,TANZANIA,2006,789,9496,8769,HIV-1
