#,Patient Code,PAT id(SSAM),Accession,Name,Species-group,Species,Group,Subtype,Country,Sampling Year,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
81,140_330,1637,AF006868,140_330,PLV,HIV-1,M,A,UGANDA,1993,7893,8243,351,HIV-1
82,161_287,1635,AF006872,161_287,PLV,HIV-1,M,A,UGANDA,1993,7893,8243,351,HIV-1
83,161_287,1635,AF006873,161_287,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
84,171_005,1634,AF006876,171_005,PLV,HIV-1,M,A,UGANDA,1993,7893,8243,351,HIV-1
85,171_005,1634,AF006877,171_005,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
86,184_574,1631,AF006882,184_574,PLV,HIV-1,M,A,UGANDA,1993,7893,8243,351,HIV-1
87,184_574,1631,AF006883,184_574,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
88,190_571,1630,AF006884,190_571,PLV,HIV-1,M,A,UGANDA,1993,7884,8271,388,HIV-1
89,190_574,13995,AF006886,190_574,PLV,HIV-1,M,A,UGANDA,1993,7890,8268,379,HIV-1
90,190_574,13995,AF006887,190_574,PLV,HIV-1,M,A,UGANDA,1993,1273,1691,419,HIV-1
91,194_793,1628,AF006890,194_793,PLV,HIV-1,M,A,UGANDA,1993,7884,8271,388,HIV-1
92,194_793,1628,AF006891,194_793,PLV,HIV-1,M,A,UGANDA,1993,1267,1694,428,HIV-1
93,204_987,1626,AF006894,204_987,PLV,HIV-1,M,A,UGANDA,1993,7893,8243,351,HIV-1
94,204_987,1626,AF006895,204_987,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
95,225_318,13994,AF006898,225_318,PLV,HIV-1,M,A,UGANDA,1993,7884,8271,388,HIV-1
96,225_318,13994,AF006899,225_318,PLV,HIV-1,M,A,UGANDA,1993,1267,1692,426,HIV-1
97,225_692,1624,AF006900,225_692,PLV,HIV-1,M,A,UGANDA,1993,7884,8271,388,HIV-1
98,225_692,1624,AF006901,225_692,PLV,HIV-1,M,A,UGANDA,1993,1267,1694,428,HIV-1
99,225_706,1623,AF006902,225_706,PLV,HIV-1,M,A,UGANDA,1993,7884,8271,388,HIV-1
100,225_706,1623,AF006903,225_706,PLV,HIV-1,M,A,UGANDA,1993,1267,1694,428,HIV-1
101,225_710,1622,AF006905,225_710,PLV,HIV-1,M,A,UGANDA,1993,1267,1694,428,HIV-1
102,226_170,1619,AF006910,226_170,PLV,HIV-1,M,A,UGANDA,1993,7896,8273,378,HIV-1
103,230_298,13993,AF006912,230_298,PLV,HIV-1,M,A,UGANDA,1993,7884,8271,388,HIV-1
104,230_569,1618,AF006914,230_569,PLV,HIV-1,M,A,UGANDA,1993,7884,8271,388,HIV-1
105,230_569,1618,AF006915,230_569,PLV,HIV-1,M,A,UGANDA,1993,1267,1694,428,HIV-1
106,230_580,1617,AF006916,230_580,PLV,HIV-1,M,A,UGANDA,1993,7887,8267,381,HIV-1
107,230_580,1617,AF006917,230_580,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
108,264_287,1615,AF006920,264_287,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
109,264_615,1614,AF006921,264_615,PLV,HIV-1,M,A,UGANDA,1993,7887,8267,381,HIV-1
110,264_615,1614,AF006922,264_615,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
111,264_643,13992,AF006923,264_643,PLV,HIV-1,M,A,UGANDA,1993,7887,8267,381,HIV-1
112,264_643,13992,AF006924,264_643,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
113,264_289,1613,AF006925,264_689,PLV,HIV-1,M,A,UGANDA,1993,7968,8231,264,HIV-1
114,264_289,1613,AF006926,264_689,PLV,HIV-1,M,A,UGANDA,1993,1276,1690,415,HIV-1
115,267_585,1612,AF006927,267_585,PLV,HIV-1,M,A,UGANDA,1993,7884,8272,389,HIV-1
116,267_585,1612,AF006928,267_585,PLV,HIV-1,M,A,UGANDA,1993,1276,1681,406,HIV-1
117,326_636,13991,AF006935,326_636,PLV,HIV-1,M,A,UGANDA,1993,7887,8267,381,HIV-1
118,326_636,13991,AF006936,326_636,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
119,326_642,1608,AF006937,326_642,PLV,HIV-1,M,A,UGANDA,1993,7887,8267,381,HIV-1
120,326_642,1608,AF006938,326_642,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
121,326_662,1606,AF006941,326_662,PLV,HIV-1,M,A,UGANDA,1993,7881,8270,390,HIV-1
122,326_662,1606,AF006942,326_662,PLV,HIV-1,M,A,UGANDA,1993,1264,1694,431,HIV-1
123,326_675,1605,AF006943,326_675,PLV,HIV-1,M,A,UGANDA,1993,7893,8243,351,HIV-1
124,326_675,1605,AF006944,326_675,PLV,HIV-1,M,A,UGANDA,1993,1309,1658,350,HIV-1
125,501_190,1602,AF006949,501_190,PLV,HIV-1,M,A,UGANDA,1993,7887,8267,381,HIV-1
126,602_174,1600,AF006954,602_174,PLV,HIV-1,M,A,UGANDA,1993,1264,1684,421,HIV-1
127,186,22724,AF020823,P186,PLV,HIV-1,M,A,SENEGAL,,6974,7317,335,HIV-1
128,542,22902,AF020827,P542,PLV,HIV-1,M,A,SENEGAL,,6974,7317,335,HIV-1
129,1913,22728,AF020829,P1913,PLV,HIV-1,M,A,SENEGAL,,6974,7317,344,HIV-1
130,,,AF020948,TWA1,PLV,HIV-1,M,A,TAIWAN,,1235,1860,626,HIV-1
131,CMR100,8717,AF023064,CMR100,PLV,HIV-1,M,A,CAMEROON,1994,7020,7409,384,HIV-1
132,CMR261,8708,AF023069,CMR261,PLV,HIV-1,M,A,CAMEROON,1994,7020,7409,387,HIV-1
133,CMR302,15117,AF023077,CMR302,PLV,HIV-1,M,A,CAMEROON,1994,7020,7409,384,HIV-1
134,CMR371,8681,AF023079,CMR371,PLV,HIV-1,M,A,CAMEROON,1995,7020,7409,384,HIV-1
135,CMR7,8689,AF023081,CMR7,PLV,HIV-1,M,A,CAMEROON,1994,7020,7409,384,HIV-1
136,12,4783,AF025597,93UA12,PLV,HIV-1,M,A,UKRAINE,1993,1603,1998,390,HIV-1
137,13,5239,AF025598,93UA13,PLV,HIV-1,M,A,UKRAINE,1993,1603,1998,390,HIV-1
138,14,4784,AF025599,93UA14,PLV,HIV-1,M,A,UKRAINE,1993,1603,1998,390,HIV-1
139,15,4785,AF025600,93UA15GAG,PLV,HIV-1,M,A,UKRAINE,1993,1603,1998,390,HIV-1
140,16,14422,AF025601,93UA16GAG,PLV,HIV-1,M,A,UKRAINE,1993,1603,1998,393,HIV-1
141,17,4786,AF025602,93UA17GAG,PLV,HIV-1,M,A,UKRAINE,1993,1603,1998,390,HIV-1
142,18,4787,AF025603,93UA18GAG,PLV,HIV-1,M,A,UKRAINE,1993,1603,1998,390,HIV-1
143,19,4788,AF025604,93UA19GAG,PLV,HIV-1,M,A,UKRAINE,1993,1603,1998,390,HIV-1
144,20,1275,AF025605,96UA20GAG,PLV,HIV-1,M,A,UKRAINE,1996,1603,1998,390,HIV-1
145,21,1315,AF025606,96UA21GAG,PLV,HIV-1,M,A,UKRAINE,1996,1603,1998,390,HIV-1
146,22,13959,AF025607,96UA22GAG,PLV,HIV-1,M,A,UKRAINE,1996,1603,1998,390,HIV-1
147,23,1317,AF025608,96UA23GAG,PLV,HIV-1,M,A,UKRAINE,1996,1603,1998,390,HIV-1
148,24,1310,AF025609,96UA24GAG,PLV,HIV-1,M,A,UKRAINE,1996,1603,1998,390,HIV-1
149,26,1316,AF025611,96UA26GAG,PLV,HIV-1,M,A,UKRAINE,1996,1603,1998,390,HIV-1
150,27,1314,AF025612,96UA27GAG,PLV,HIV-1,M,A,UKRAINE,1996,1603,1998,390,HIV-1
151,12,4783,AF025614,93UA12LTR,PLV,HIV-1,M,A,UKRAINE,1993,93,500,419,HIV-1
152,13,5239,AF025615,93UA13LTR,PLV,HIV-1,M,A,UKRAINE,1993,93,500,419,HIV-1
153,14,4784,AF025616,93UA14LTR,PLV,HIV-1,M,A,UKRAINE,1993,93,500,419,HIV-1
154,15,4785,AF025617,93UA15LTR,PLV,HIV-1,M,A,UKRAINE,1993,93,500,420,HIV-1
155,16,14422,AF025618,93UA16LTR,PLV,HIV-1,M,A,UKRAINE,1993,93,500,419,HIV-1
156,17,4786,AF025619,93UA17LTR,PLV,HIV-1,M,A,UKRAINE,1993,93,500,419,HIV-1
157,18,4787,AF025620,93UA18LTR,PLV,HIV-1,M,A,UKRAINE,1993,93,500,419,HIV-1
158,19,4788,AF025621,93UA19LTR,PLV,HIV-1,M,A,UKRAINE,1993,93,500,419,HIV-1
159,20,1275,AF025622,96UA20LTR,PLV,HIV-1,M,A,UKRAINE,1996,93,500,419,HIV-1
160,21,1315,AF025623,96UA21LTR,PLV,HIV-1,M,A,UKRAINE,1996,93,500,419,HIV-1
161,22,13959,AF025624,96UA22LTR,PLV,HIV-1,M,A,UKRAINE,1996,93,500,419,HIV-1
162,23,1317,AF025625,96UA23LTR,PLV,HIV-1,M,A,UKRAINE,1996,93,500,419,HIV-1
163,24,1310,AF025626,96UA24LTR,PLV,HIV-1,M,A,UKRAINE,1996,93,500,419,HIV-1
164,25,1312,AF025627,96UA25LTR,PLV,HIV-1,M,A,UKRAINE,1996,93,500,419,HIV-1
165,26,1316,AF025628,96UA26LTR,PLV,HIV-1,M,A,UKRAINE,1996,93,500,419,HIV-1
166,27,1314,AF025629,96UA27LTR,PLV,HIV-1,M,A,UKRAINE,1996,93,500,419,HIV-1
167,28,1313,AF025630,96UA28LTR,PLV,HIV-1,M,A,UKRAINE,1996,93,500,419,HIV-1
168,12,4783,AF025631,93UA12TAT,PLV,HIV-1,M,A,UKRAINE,1993,5831,6049,219,HIV-1
169,13,5239,AF025632,93UA13TAT,PLV,HIV-1,M,A,UKRAINE,1993,5831,6049,219,HIV-1
170,14,4784,AF025633,93UA14TAT,PLV,HIV-1,M,A,UKRAINE,1993,5831,6049,219,HIV-1
171,15,4785,AF025634,93UA15TAT,PLV,HIV-1,M,A,UKRAINE,1993,5831,6049,219,HIV-1
172,16,14422,AF025635,93UA16TAT,PLV,HIV-1,M,A,UKRAINE,1993,5831,6049,219,HIV-1
173,17,4786,AF025636,93UA17TAT,PLV,HIV-1,M,A,UKRAINE,1993,5831,6049,219,HIV-1
174,18,4787,AF025637,93UA18TAT,PLV,HIV-1,M,A,UKRAINE,1993,5831,6049,219,HIV-1
175,19,4788,AF025638,93UA19TAT,PLV,HIV-1,M,A,UKRAINE,1993,5831,6049,219,HIV-1
176,20,1275,AF025639,96UA20TAT,PLV,HIV-1,M,A,UKRAINE,1996,5831,6049,219,HIV-1
177,21,1315,AF025640,96UA21TAT,PLV,HIV-1,M,A,UKRAINE,1996,5831,6049,219,HIV-1
178,22,13959,AF025641,96UA22TAT,PLV,HIV-1,M,A,UKRAINE,1996,5831,6049,219,HIV-1
179,23,1317,AF025642,96UA23TAT,PLV,HIV-1,M,A,UKRAINE,1996,5831,6049,219,HIV-1
180,24,1310,AF025643,96UA24TAT,PLV,HIV-1,M,A,UKRAINE,1996,5831,6049,219,HIV-1
181,25,1312,AF025644,96UA25TAT,PLV,HIV-1,M,A,UKRAINE,1996,5831,6049,219,HIV-1
182,26,1316,AF025645,96UA26TAT,PLV,HIV-1,M,A,UKRAINE,1996,5831,6049,219,HIV-1
183,27,1314,AF025646,96UA27TAT,PLV,HIV-1,M,A,UKRAINE,1996,5831,6049,219,HIV-1
184,28,1313,AF025647,96UA28TAT,PLV,HIV-1,M,A,UKRAINE,1996,5831,6049,219,HIV-1
185,11,3503,AF025693,LE11,PLV,HIV-1,M,A,LEBANON,1996,7050,7400,345,HIV-1
186,13,3505,AF025695,LE13,PLV,HIV-1,M,A,LEBANON,1996,7050,7400,342,HIV-1
187,17,3509,AF025699,LE17,PLV,HIV-1,M,A,LEBANON,1996,7050,7400,345,HIV-1
188,18,3510,AF025700,LE18,PLV,HIV-1,M,A,LEBANON,1996,7050,7400,345,HIV-1
189,20,3513,AF025703,LE20,PLV,HIV-1,M,A,LEBANON,1996,7050,7400,345,HIV-1
190,3,3518,AF025709,LE3,PLV,HIV-1,M,A,LEBANON,1996,7050,7400,345,HIV-1
191,4,3519,AF025710,LE4,PLV,HIV-1,M,A,LEBANON,1996,7050,7400,342,HIV-1
192,5,3520,AF025711,LE5,PLV,HIV-1,M,A,LEBANON,1996,7050,7400,345,HIV-1
193,6,3521,AF025712,LE6,PLV,HIV-1,M,A,LEBANON,1996,7050,7400,348,HIV-1
194,17,3509,AF025716,LE17,PLV,HIV-1,M,A,LEBANON,1996,1186,1496,311,HIV-1
195,18,3510,AF025717,LE18,PLV,HIV-1,M,A,LEBANON,1996,1186,1496,311,HIV-1
196,7,3522,AF025719,LE7,PLV,HIV-1,M,A,LEBANON,1996,1186,1496,311,HIV-1
197,9,3464,AF025720,LE9,PLV,HIV-1,M,A,LEBANON,1996,1186,1496,311,HIV-1
198,1,2,AF025721,LE1,PLV,HIV-1,M,A,LEBANON,1996,2253,2549,297,HIV-1
199,11,3503,AF025723,LE11,PLV,HIV-1,M,A,LEBANON,1996,2253,2549,297,HIV-1
200,13,3505,AF025725,LE13,PLV,HIV-1,M,A,LEBANON,1996,2253,2549,297,HIV-1
201,17,3509,AF025729,LE17,PLV,HIV-1,M,A,LEBANON,1996,2253,2549,297,HIV-1
202,18,3510,AF025730,LE18,PLV,HIV-1,M,A,LEBANON,1996,2253,2549,297,HIV-1
203,20,3513,AF025733,LE20,PLV,HIV-1,M,A,LEBANON,1996,2253,2549,297,HIV-1
204,3,3518,AF025739,LE3,PLV,HIV-1,M,A,LEBANON,1996,2253,2549,297,HIV-1
205,4,3519,AF025740,LE4,PLV,HIV-1,M,A,LEBANON,1996,2253,2549,297,HIV-1
206,5,3520,AF025741,LE5,PLV,HIV-1,M,A,LEBANON,1996,2253,2549,297,HIV-1
207,6,3521,AF025742,LE6,PLV,HIV-1,M,A,LEBANON,1996,2253,2549,297,HIV-1
208,CMR844,8632,AF028077,CMR844,PLV,HIV-1,M,A,CAMEROON,1995,4493,4780,288,HIV-1
209,CMR862,8627,AF028081,CMR862,PLV,HIV-1,M,A,CAMEROON,1995,4493,4780,288,HIV-1
210,CMR884,15102,AF028085,CMR884,PLV,HIV-1,M,A,CAMEROON,1995,4493,4780,288,HIV-1
211,CMR890,8620,AF028086,CMR890,PLV,HIV-1,M,A,CAMEROON,1995,4493,4780,288,HIV-1
212,CMR897,8605,AF028090,CMR897,PLV,HIV-1,M,A,CAMEROON,1995,4493,4780,288,HIV-1
213,G3,3960,AF031661,G3_PbB13,PLV,HIV-1,M,A,KENYA,1991,6630,7217,573,HIV-1
214,,,AF032144,IVC8911,PLV,HIV-1,M,A,NETHERLANDS,,7032,7307,267,HIV-1
215,,,AF032148,AFR9115,PLV,HIV-1,M,A,NETHERLANDS,,7032,7307,270,HIV-1
216,,,AF032167,AFR9344,PLV,HIV-1,M,A,NETHERLANDS,,7032,7238,204,HIV-1
217,,,AF032183,SEN6464,PLV,HIV-1,M,A,NETHERLANDS,,7032,7307,267,HIV-1
218,,,AF032187,GHA9568,PLV,HIV-1,M,A,NETHERLANDS,,7032,7310,270,HIV-1
219,,,AF032188,GHA9569,PLV,HIV-1,M,A,NETHERLANDS,,7032,7310,270,HIV-1
220,,,AF032194,KEN9579,PLV,HIV-1,M,A,NETHERLANDS,,7032,7307,270,HIV-1
221,,,AF032199,NED9584,PLV,HIV-1,M,A,NETHERLANDS,,7032,7307,267,HIV-1
222,,,AF032201,THA9586,PLV,HIV-1,M,A,NETHERLANDS,,7032,7307,264,HIV-1
223,Q23,7,AF047979,C6_94,PLV,HIV-1,M,A,KENYA,1994,6632,6812,192,HIV-1
224,Q23,7,AF047980,C6_94,PLV,HIV-1,M,A,KENYA,1994,6632,6812,192,HIV-1
225,Q23,7,AF047981,C6_94,PLV,HIV-1,M,A,KENYA,1994,6615,6812,192,HIV-1
226,Q23,7,AF047982,C6_94,PLV,HIV-1,M,A,KENYA,1994,6615,6812,192,HIV-1
227,Q23,7,AF047983,C6_94,PLV,HIV-1,M,A,KENYA,1994,6615,6812,192,HIV-1
228,Q23,7,AF047984,C6_94,PLV,HIV-1,M,A,KENYA,1994,6615,6812,192,HIV-1
229,Q23,7,AF047985,C7_93,PLV,HIV-1,M,A,KENYA,1993,6615,6812,195,HIV-1
230,Q23,7,AF047986,C7_93,PLV,HIV-1,M,A,KENYA,1993,6615,6812,195,HIV-1
231,Q23,7,AF047987,C7_93,PLV,HIV-1,M,A,KENYA,1993,6615,6812,195,HIV-1
232,Q23,7,AF047988,C7_93,PLV,HIV-1,M,A,KENYA,1993,6615,6812,195,HIV-1
233,Q23,7,AF047989,C7_93,PLV,HIV-1,M,A,KENYA,1993,6615,6812,192,HIV-1
234,Q23,7,AF047990,C7_93,PLV,HIV-1,M,A,KENYA,1993,6615,6812,192,HIV-1
235,Q23,7,AF047991,C7_93,PLV,HIV-1,M,A,KENYA,1993,6615,6812,195,HIV-1
236,Q23,7,AF047992,C7_93,PLV,HIV-1,M,A,KENYA,1993,6615,6812,195,HIV-1
237,Q23,7,AF047993,C7_93,PLV,HIV-1,M,A,KENYA,1993,6615,6812,192,HIV-1
238,Q23,7,AF047994,C2_95,PLV,HIV-1,M,A,KENYA,1995,6615,6812,189,HIV-1
239,Q23,7,AF047995,C2_95,PLV,HIV-1,M,A,KENYA,1995,6615,6812,204,HIV-1
240,Q23,7,AF047996,C2_95,PLV,HIV-1,M,A,KENYA,1995,6615,6812,204,HIV-1
241,Q23,7,AF047997,C2_95,PLV,HIV-1,M,A,KENYA,1995,6615,6812,204,HIV-1
242,Q23,7,AF047998,C2_95,PLV,HIV-1,M,A,KENYA,1995,6615,6812,204,HIV-1
243,Q23,7,AF047999,C2_95,PLV,HIV-1,M,A,KENYA,1995,6615,6812,204,HIV-1
244,Q23,7,AF048000,C11_94,PLV,HIV-1,M,A,KENYA,1994,6630,6812,195,HIV-1
245,Q23,7,AF048001,C11_94,PLV,HIV-1,M,A,KENYA,1994,6630,6812,195,HIV-1
246,Q23,7,AF048002,C11_94,PLV,HIV-1,M,A,KENYA,1994,6630,6812,195,HIV-1
247,Q23,7,AF048003,C11_94,PLV,HIV-1,M,A,KENYA,1994,6648,6812,180,HIV-1
248,Q23,7,AF048004,C11_94,PLV,HIV-1,M,A,KENYA,1994,6630,6812,195,HIV-1
249,Q23,7,AF048005,C11_94,PLV,HIV-1,M,A,KENYA,1994,6630,6812,195,HIV-1
250,Q23,7,AF048006,C11_94,PLV,HIV-1,M,A,KENYA,1994,6630,6812,195,HIV-1
251,Q23,7,AF048007,C11_94,PLV,HIV-1,M,A,KENYA,1994,6615,6812,189,HIV-1
