sequenceID	name	organism	locus_name	sequence_length
JQ700145	MELV	Mustela eversmannii	MELV	880
JQ700146	MELV	Mustela eversmannii	MELV	880
JQ700147	MELV	Mustela eversmannii	MELV	860
JQ700148	MELV	Mustela eversmannii	MELV	880
JQ700149	MELV	Mustela eversmannii	MELV	875
JQ700150	MELV	Mustela eversmannii	MELV	860
JQ700151	MELV	Mustela eversmannii	MELV	880
JQ700152	MELV	Mustela eversmannii	MELV	901
JQ700153	MELV	Mustela frenata	MELV	837
JQ700154	MELV	Mustela frenata	MELV	837
JQ700155	MELV	Mustela frenata	MELV	837
JQ700156	MELV	Mustela frenata	MELV	837
JQ700157	MELV	Mustela frenata	MELV	873
JQ700158	MELV	Mustela frenata	MELV	873
JQ700159	MELV	Mustela frenata	MELV	837
JQ700160	MELV	Mustela frenata	MELV	877
JQ700161	MELV	Mustela frenata	MELV	837
JQ700162	MELV	Mustela nigripes	MELV	880
JQ700163	MELV	Mustela nigripes	MELV	880
JQ700164	MELV	Mustela nigripes	MELV	902
JQ700165	MELV	Mustela nigripes	MELV	880
JQ700166	MELV	Mustela nigripes	MELV	880
JQ700167	MELV	Mustela nigripes	MELV	902
JQ700168	MELV	Mustela nigripes	MELV	880
JQ700169	MELV	Mustela nigripes	MELV	880
JQ700170	MELV	Mustela nigripes	MELV	902
JQ700171	MELV	Mustela nigripes	MELV	880
JQ700172	MELV	Mustela nigripes	MELV	880
JQ700173	MELV	Mustela nivalis	MELV	873
JQ700174	MELV	Mustela nivalis	MELV	880
JQ700175	MELV	Mustela nivalis	MELV	873
JQ700176	MELV	Mustela nivalis	MELV	837
JQ700177	MELV	Mustela nivalis	MELV	873
JQ700178	MELV	Mustela nivalis	MELV	878
JQ700179	MELV	Mustela nivalis	MELV	837
JQ700180	MELV	Mustela nivalis	MELV	837
JQ700181	MELV	Mustela putorius	MELV	874
JQ700182	MELV	Mustela putorius	MELV	880
JQ700183	MELV	Mustela putorius	MELV	874
JQ700184	MELV	Mustela putorius	MELV	880
JQ700185	MELV	Mustela putorius	MELV	880
JQ700186	MELV	Mustela putorius	MELV	880
JQ700187	MELV	Mustela putorius	MELV	879
JQ700188	MELV	Mustela putorius	MELV	874
JQ700189	MELV	Mustela putorius	MELV	874
JQ700190	MELV	Mustela putorius	MELV	880
JQ700191	MELV	Neovison vison	MELV	880
JQ700192	MELV	Neovison vison	MELV	880
JQ700193	MELV	Neovison vison	MELV	883
JQ700194	MELV	Neovison vison	MELV	880
JQ700195	MELV	Neovison vison	MELV	880
JQ700196	MELV	Neovison vison	MELV	880
JQ700197	MELV	Neovison vison	MELV	880
JQ700198	MELV	Neovison vison	MELV	878
JQ700199	MELV	Neovison vison	MELV	880
JQ700200	MELV	Neovison vison	MELV	880
KX022581	DELV	Galeopterus variegatus	ELVgv	1128
KX022582	DELV	Galeopterus variegatus	ELVgv	2873
KX022583	DELV	Cynocephalus volans	ELVgv	2879
KX022584	DELV	Cynocephalus volans	ELVgv	2879
KX022585	DELV	Galeopterus variegatus	ELVgv	1067
KX022586	DELV	Galeopterus variegatus	ELVgv	2784
KX022587	DELV	Cynocephalus volans	ELVgv	3210
KX022588	DELV	Cynocephalus volans	ELVgv	1118
KX022589	DELV	Galeopterus variegatus	ELVgv	605
