sequenceID	taxonomy	locus_numeric_id	classifier	taxonomy.locus_numeric_id	organism	erv_structure	original	locus_structure	sequence_length	scaffold	orientation	extract_start	extract_end	assigned_name	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings
ERV-ELVgv.42-Galeopterus_variegatus-LTR	ELVgv	42	ERV	ELVgv.42	Galeopterus_variegatus	solo LTR	42	LTR[ELVgv(+)]	435	KL144829.1	+	18196	18630	ELVgv	2603	2746	1	432	144	234	79.167	6.24	75	0
ERV-ELVgv.43-Galeopterus_variegatus-LTR	ELVgv	43	ERV	ELVgv.43	Galeopterus_variegatus	solo LTR	43	LTR[ELVgv(-)]	435	JMZW01477984.1	-	38	472	ELVgv	2603	2746	1	432	144	216	75.694	2.48	68	0
ERV-ELVgv.44-Galeopterus_variegatus-LTR	ELVgv	44	ERV	ELVgv.44	Galeopterus_variegatus	solo LTR	44	LTR[ELVgv(-)]	435	KL143076.1	-	654278	654712	ELVgv	2603	2746	1	432	149	82.8	40.268	8.52	22	3
ERV-ELVgv.45-Galeopterus_variegatus-LTR	ELVgv	45	ERV	ELVgv.45	Galeopterus_variegatus	solo LTR	45	LTR[ELVgv(-)]	435	KL143951.1	-	54870	55304	ELVgv	2603	2745	1	429	143	229	79.72	3.68	73	0
ERV-ELVgv.46-Galeopterus_variegatus-LTR	ELVgv	46	ERV	ELVgv.46	Galeopterus_variegatus	solo LTR	46	LTR[ELVgv(-)]	435	KL147369.1	-	8583	9017	ELVgv	2603	2746	1	432	144	239	80.556	9.6	77	0
ERV-ELVgv.47-Galeopterus_variegatus-LTR	ELVgv	47	ERV	ELVgv.47	Galeopterus_variegatus	solo LTR	47	LTR[ELVgv(+)]	435	KL143741.1	+	111352	111786	ELVgv	2657	2717	165	347	61	91.7	75.41	1.87	29	0
ERV-ELVgv.48-Galeopterus_variegatus-LTR	ELVgv	48	ERV	ELVgv.48	Galeopterus_variegatus	solo LTR	48	LTR[ELVgv(-)]	435	KL143559.1	-	281808	282242	ELVgv	2603	2746	1	432	144	190	77.778	2.43	59	0
ERV-ELVgv.49-Galeopterus_variegatus-LTR	ELVgv	49	ERV	ELVgv.49	Galeopterus_variegatus	solo LTR	49	LTR[ELVgv(-)]	435	JMZW01444635.1	-	213	647	ELVgv	2603	2746	1	432	144	221	75.694	5.11	70	0
ERV-ELVgv.50-Galeopterus_variegatus-LTR	ELVgv	50	ERV	ELVgv.50	Galeopterus_variegatus	solo LTR	50	LTR[ELVgv(+)]	435	KL144041.1	+	384162	384596	ELVgv	2603	2746	1	432	144	221	76.389	3.34	70	0
ERV-ELVgv.51-Galeopterus_variegatus-LTR	ELVgv	51	ERV	ELVgv.51	Galeopterus_variegatus	solo LTR	51	LTR[ELVgv(-)]	435	KL150680.1	-	89158	89592	ELVgv	2603	2746	1	432	144	170	64.583	2.28	52	0
ERV-ELVgv.52-Galeopterus_variegatus-LTR	ELVgv	52	ERV	ELVgv.52	Galeopterus_variegatus	solo LTR	52	LTR[ELVgv(-)]	435	KL157631.1	-	14051	14485	ELVgv	2603	2746	1	432	144	212	73.611	5	67	0
ERV-ELVgv.53-Galeopterus_variegatus-LTR	ELVgv	53	ERV	ELVgv.53	Galeopterus_variegatus	solo LTR	53	LTR[ELVgv(+)]	435	KL150083.1	+	20439	20873	ELVgv	2603	2746	1	432	144	217	76.389	9.52	69	0
ERV-ELVgv.54-Galeopterus_variegatus-LTR	ELVgv	54	ERV	ELVgv.54	Galeopterus_variegatus	solo LTR	54	LTR[ELVgv(-)]	434	KL146857.1	-	188185	188618	ELVgv	2624	2745	63	428	122	193	77.049	1.77	60	0
ERV-ELVgv.55-Galeopterus_variegatus-LTR	ELVgv	55	ERV	ELVgv.55	Galeopterus_variegatus	solo LTR	55	LTR[ELVgv(-)]	434	KL151182.1	-	99001	99434	ELVgv	2603	2746	1	432	144	231	80.556	6.95	74	0
ERV-ELVgv.56-Galeopterus_variegatus-LTR	ELVgv	56	ERV	ELVgv.56	Galeopterus_variegatus	solo LTR	56	LTR[ELVgv(+)]	434	KL144053.1	+	316338	316771	ELVgv	2657	2746	165	431	90	110	65.556	1.3	31	1
ERV-ELVgv.57-Galeopterus_variegatus-LTR	ELVgv	57	ERV	ELVgv.57	Galeopterus_variegatus	solo LTR	57	LTR[ELVgv(+)]	434	KL145498.1	+	535880	536313	ELVgv	2604	2732	4	390	129	212	80.62	4.12	67	0
ERV-ELVgv.58-Galeopterus_variegatus-LTR	ELVgv	58	ERV	ELVgv.58	Galeopterus_variegatus	solo LTR	58	LTR[ELVgv(-)]	434	KL142858.1	-	896485	896918	ELVgv	2603	2746	1	432	144	214	75.694	1.03	67	0
ERV-ELVgv.59-Galeopterus_variegatus-LTR	ELVgv	59	ERV	ELVgv.59	Galeopterus_variegatus	solo LTR	59	LTR[ELVgv(+)]	434	KL187803.1	+	5436	5869	ELVgv	2617	2746	42	431	130	150	63.077	1.34	45	0
ERV-ELVgv.60-Galeopterus_variegatus-LTR	ELVgv	60	ERV	ELVgv.60	Galeopterus_variegatus	solo LTR	60	LTR[ELVgv(-)]	434	KL145604.1	-	205212	205645	ELVgv	2624	2745	63	428	122	176	72.951	1.22	54	0
ERV-ELVgv.61-Galeopterus_variegatus-LTR	ELVgv	61	ERV	ELVgv.61	Galeopterus_variegatus	solo LTR	61	LTR[ELVgv(+)]	433	KL149754.1	+	35626	36058	ELVgv	2657	2745	165	431	89	120	70.787	8.6	38	0
ERV-ELVgv.62-Galeopterus_variegatus-LTR	ELVgv	62	ERV	ELVgv.62	Galeopterus_variegatus	solo LTR	62	LTR[ELVgv(+)]	433	KL149598.1	+	22001	22433	ELVgv	2624	2745	66	431	122	166	70.492	7.8	51	0
ERV-ELVgv.63-Galeopterus_variegatus-LTR	ELVgv	63	ERV	ELVgv.63	Galeopterus_variegatus	solo LTR	63	LTR[ELVgv(+)]	433	KL143514.1	+	372424	372856	ELVgv	2671	2746	203	430	76	97.1	64.474	1.71	36	0
ERV-ELVgv.64-Galeopterus_variegatus-LTR	ELVgv	64	ERV	ELVgv.64	Galeopterus_variegatus	solo LTR	64	LTR[ELVgv(+)]	433	KL143627.1	+	436705	437137	ELVgv	2622	2695	60	281	74	107	74.324	1.61	47	0
ERV-ELVgv.65-Galeopterus_variegatus-LTR	ELVgv	65	ERV	ELVgv.65	Galeopterus_variegatus	solo LTR	65	LTR[ELVgv(-)]	433	KL145564.1	-	169901	170333	ELVgv	2624	2730	66	386	107	157	73.832	2.71	49	0
ERV-ELVgv.66-Galeopterus_variegatus-LTR	ELVgv	66	ERV	ELVgv.66	Galeopterus_variegatus	solo LTR	66	LTR[ELVgv(+)]	433	KL154940.1	+	27316	27748	ELVgv	2659	2746	170	433	88	139	79.545	3.44	62	0
ERV-ELVgv.67-Galeopterus_variegatus-LTR	ELVgv	67	ERV	ELVgv.67	Galeopterus_variegatus	solo LTR	67	LTR[ELVgv(-)]	433	KL152583.1	-	17658	18090	ELVgv	2624	2745	66	431	122	167	72.131	1.02	52	0
ERV-ELVgv.68-Galeopterus_variegatus-LTR	ELVgv	68	ERV	ELVgv.68	Galeopterus_variegatus	solo LTR	68	LTR[ELVgv(-)]	433	KL155200.1	-	58160	58592	ELVgv	2624	2740	66	416	117	149	68.376	1.9	46	0
ERV-ELVgv.69-Galeopterus_variegatus-LTR	ELVgv	69	ERV	ELVgv.69	Galeopterus_variegatus	solo LTR	69	LTR[ELVgv(+)]	433	KL146905.1	+	142878	143310	ELVgv	2624	2745	66	431	122	176	71.311	3.04	57	0
ERV-ELVgv.70-Galeopterus_variegatus-LTR	ELVgv	70	ERV	ELVgv.70	Galeopterus_variegatus	solo LTR	70	LTR[ELVgv(-)]	433	KL142891.1	-	635656	636088	ELVgv	2604	2746	2	430	143	219	77.622	9.76	70	0
ERV-ELVgv.71-Galeopterus_variegatus-LTR	ELVgv	71	ERV	ELVgv.71	Galeopterus_variegatus	solo LTR	71	LTR[ELVgv(+)]	432	KL144427.1	+	307011	307442	ELVgv	2648	2745	137	430	98	130	68.367	8.78	47	0
ERV-ELVgv.72-Galeopterus_variegatus-LTR	ELVgv	72	ERV	ELVgv.72	Galeopterus_variegatus	solo LTR	72	LTR[ELVgv(+)]	432	KL148157.1	+	147450	147881	ELVgv	2624	2736	59	397	113	164	71.681	1.96	50	0
ERV-ELVgv.73-Galeopterus_variegatus-LTR	ELVgv	73	ERV	ELVgv.73	Galeopterus_variegatus	solo LTR	73	LTR[ELVgv(+)]	432	KL143911.1	+	183706	184137	ELVgv	2603	2690	1	267	89	100	60.674	2	44	1
ERV-ELVgv.74-Galeopterus_variegatus-LTR	ELVgv	74	ERV	ELVgv.74	Galeopterus_variegatus	solo LTR	74	LTR[ELVgv(-)]	432	KL152555.1	-	65829	66260	ELVgv	2657	2745	165	431	89	115	68.539	1.64	41	0
ERV-ELVgv.75-Galeopterus_variegatus-LTR	ELVgv	75	ERV	ELVgv.75	Galeopterus_variegatus	solo LTR	75	LTR[ELVgv(+)]	432	KL144308.1	+	335115	335546	ELVgv	2616	2746	37	429	131	179	67.939	9.98	56	0
ERV-ELVgv.76-Galeopterus_variegatus-LTR	ELVgv	76	ERV	ELVgv.76	Galeopterus_variegatus	solo LTR	76	LTR[ELVgv(-)]	432	KL146953.1	-	57421	57852	ELVgv	2603	2746	1	429	144	210	73.611	1.94	66	1
ERV-ELVgv.77-Galeopterus_variegatus-LTR	ELVgv	77	ERV	ELVgv.77	Galeopterus_variegatus	solo LTR	77	LTR[ELVgv(-)]	431	KL143449.1	-	36341	36771	ELVgv	2603	2745	1	429	143	223	78.322	6.72	71	0
ERV-ELVgv.78-Galeopterus_variegatus-LTR	ELVgv	78	ERV	ELVgv.78	Galeopterus_variegatus	solo LTR	78	LTR[ELVgv(-)]	431	KL146111.1	-	84447	84877	ELVgv	2603	2745	1	429	143	214	74.126	6.4	68	0
ERV-ELVgv.79-Galeopterus_variegatus-LTR	ELVgv	79	ERV	ELVgv.79	Galeopterus_variegatus	solo LTR	79	LTR[ELVgv(-)]	431	KL146311.1	-	183879	184309	ELVgv	31	145	89	430	117	131	65.812	6.81	40	2
ERV-ELVgv.80-Galeopterus_variegatus-LTR	ELVgv	80	ERV	ELVgv.80	Galeopterus_variegatus	solo LTR	80	LTR[ELVgv(-)]	430	KL150097.1	-	95858	96287	ELVgv	2624	2740	66	413	117	175	77.778	9.11	60	1
ERV-ELVgv.81-Galeopterus_variegatus-LTR	ELVgv	81	ERV	ELVgv.81	Galeopterus_variegatus	solo LTR	81	LTR[ELVgv(-)]	430	KL164604.1	-	8064	8493	ELVgv	2684	2746	239	427	63	82.8	66.667	1.67	37	0
ERV-ELVgv.82-Galeopterus_variegatus-LTR	ELVgv	82	ERV	ELVgv.82	Galeopterus_variegatus	solo LTR	82	LTR[ELVgv(+)]	430	KL192025.1	+	211	640	ELVgv	2624	2726	66	368	103	131	68.932	5.98	48	1
ERV-ELVgv.83-Galeopterus_variegatus-LTR	ELVgv	83	ERV	ELVgv.83	Galeopterus_variegatus	solo LTR	83	LTR[ELVgv(-)]	430	KL143425.1	-	44303	44732	ELVgv	2614	2746	14	427	138	167	65.217	3.02	51	1
ERV-ELVgv.84-Galeopterus_variegatus-LTR	ELVgv	84	ERV	ELVgv.84	Galeopterus_variegatus	solo LTR	84	LTR[ELVgv(-)]	430	KL145038.1	-	46579	47008	ELVgv	2665	2732	183	386	68	113	79.412	1.99	32	0
ERV-ELVgv.85-Galeopterus_variegatus-LTR	ELVgv	85	ERV	ELVgv.85	Galeopterus_variegatus	solo LTR	85	LTR[ELVgv(+)]	430	KL154662.1	+	19540	19969	ELVgv	2616	2744	39	425	129	189	74.419	3.08	59	0
ERV-ELVgv.86-Galeopterus_variegatus-LTR	ELVgv	86	ERV	ELVgv.86	Galeopterus_variegatus	solo LTR	86	LTR[ELVgv(-)]	430	KL146711.1	-	141789	142218	ELVgv	2618	2744	45	425	127	204	80.315	1.87	64	0
ERV-ELVgv.87-Galeopterus_variegatus-LTR	ELVgv	87	ERV	ELVgv.87	Galeopterus_variegatus	solo LTR	87	LTR[ELVgv(-)]	429	KL143543.1	-	249980	250408	ELVgv	2624	2745	58	423	122	185	72.951	1.01	57	0
ERV-ELVgv.88-Galeopterus_variegatus-LTR	ELVgv	88	ERV	ELVgv.88	Galeopterus_variegatus	solo LTR	88	LTR[ELVgv(-)]	428	KL145287.1	-	151731	152158	ELVgv	2639	2746	108	425	108	135	70.37	3.24	49	1
ERV-ELVgv.89-Galeopterus_variegatus-LTR	ELVgv	89	ERV	ELVgv.89	Galeopterus_variegatus	solo LTR	89	LTR[ELVgv(-)]	426	KL145632.1	-	95048	95473	ELVgv	2603	2746	1	423	144	205	72.917	1.38	64	1
ERV-ELVgv.90-Galeopterus_variegatus-LTR	ELVgv	90	ERV	ELVgv.90	Galeopterus_variegatus	solo LTR	90	LTR[ELVgv(-)]	424	KL152188.1	-	38517	38940	ELVgv	54	145	153	419	95	94.4	62.105	4.13	32	2
ERV-ELVgv.91-Galeopterus_variegatus-LTR	ELVgv	91	ERV	ELVgv.91	Galeopterus_variegatus	solo LTR	91	LTR[ELVgv(+)]	423	KL146719.1	+	133805	134227	ELVgv	24	145	71	418	122	150	68.033	1.55	45	1
ERV-ELVgv.92-Galeopterus_variegatus-LTR	ELVgv	92	ERV	ELVgv.92	Galeopterus_variegatus	solo LTR	92	LTR[ELVgv(+)]	423	KL148165.1	+	255014	255436	ELVgv	2619	2745	41	421	127	196	76.378	1.09	61	0
ERV-ELVgv.93-Galeopterus_variegatus-LTR	ELVgv	93	ERV	ELVgv.93	Galeopterus_variegatus	solo LTR	93	LTR[ELVgv(+)]	421	KL143050.1	+	243404	243824	ELVgv	2603	2745	1	420	152	150	58.553	2.49	45	3
ERV-ELVgv.94-Galeopterus_variegatus-LTR	ELVgv	94	ERV	ELVgv.94	Galeopterus_variegatus	solo LTR	94	LTR[ELVgv(+)]	414	KL143988.1	+	316048	316461	ELVgv	31	145	72	413	117	137	66.667	3.99	41	2
ERV-ELVgv.95-Galeopterus_variegatus-LTR	ELVgv	95	ERV	ELVgv.95	Galeopterus_variegatus	solo LTR	95	LTR[ELVgv(+)]	411	KL154745.1	+	22926	23336	ELVgv	2669	2745	179	409	77	113	74.026	1.96	45	0
ERV-ELVgv.96-Galeopterus_variegatus-LTR	ELVgv	96	ERV	ELVgv.96	Galeopterus_variegatus	solo LTR	96	LTR[ELVgv(+)]	408	KL172473.1	+	682	1089	ELVgv	2603	2738	1	408	136	196	74.265	1.94	61	0
ERV-ELVgv.97-Galeopterus_variegatus-LTR	ELVgv	97	ERV	ELVgv.97	Galeopterus_variegatus	solo LTR	97	LTR[ELVgv(-)]	401	KL144229.1	-	2387	2787	ELVgv	2603	2732	1	396	132	149	61.364	3.58	45	2
ERV-ELVgv.98-Galeopterus_variegatus-LTR	ELVgv	98	ERV	ELVgv.98	Galeopterus_variegatus	solo LTR	98	LTR[ELVgv(-)]	393	KL146181.1	-	317798	318190	ELVgv	2603	2733	1	393	131	214	80.916	4.76	68	0
ERV-ELVgv.99-Galeopterus_variegatus-LTR	ELVgv	99	ERV	ELVgv.99	Galeopterus_variegatus	solo LTR	99	LTR[ELVgv(-)]	389	KL143766.1	-	374909	375297	ELVgv	2613	2741	2	388	129	191	76.744	3.44	60	0
ERV-ELVgv.100-Galeopterus_variegatus-LTR	ELVgv	100	ERV	ELVgv.100	Galeopterus_variegatus	solo LTR	100	LTR[ELVgv(-)]-LTR[ELVgv(-)]	386	KL144619.1	-	22133	22518	ELVgv	2603	2662	1	177	60	99.4	81.667	4.78	37	1
ERV-ELVgv.101-Galeopterus_variegatus-LTR	ELVgv	101	ERV	ELVgv.101	Galeopterus_variegatus	solo LTR	101	LTR[ELVgv(+)]	376	KL147475.1	+	50247	50622	ELVgv	2624	2728	63	374	111	87.8	51.351	7.29	24	3
ERV-ELVgv.102-Galeopterus_variegatus-LTR	ELVgv	102	ERV	ELVgv.102	Galeopterus_variegatus	solo LTR	102	LTR[ELVgv(-)]	375	KL143970.1	-	380665	381039	ELVgv	2	139	2	370	139	115	52.518	1.06	33	4
