sequenceID	record_id	organism	target_datatype	target_version	target_name	scaffold	orientation	assigned_name	extract_start	extract_end	locus_structure	sequence_length
Galeopterus_variegatus_24262	24262	Galeopterus_variegatus	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	KL144797.1	+	0	31988	35710	pol[FIVfca(+)]	3723
Galeopterus_variegatus_24732	24732	Galeopterus_variegatus	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	KL143158.1	+	0	71239	75370	gag[EIAV-As(+)]-pol[MELVmpf(+)]-pol[FIVpco(+)]	4132
Galeopterus_variegatus_24449	24449	Galeopterus_variegatus	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	KL153624.1	+	0	39625	44893	gag[RELIK(+)]-pol[FIVpco(+)]	5269
Galeopterus_variegatus_24692	24692	Galeopterus_variegatus	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	KL150894.1	-	0	28634	34548	pol[FIVpco(-)]-pol[HIV-1-CRF02(-)]	5915
Lepus_americanus_24789	24789	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010013136.1	-	0	16044	16443	LTR[RELIK(-)]	400
Lepus_americanus_24423	24423	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010093631.1	+	0	1887	2289	LTR[RELIK(+)]	403
Lepus_americanus_24657	24657	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010400464.1	+	0	391	795	LTR[RELIK(+)]	405
Lepus_americanus_24230	24230	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010447409.1	+	0	253	658	LTR[RELIK(+)]	406
Lepus_americanus_24712	24712	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010022642.1	+	0	14600	15007	LTR[RELIK(+)]	408
Lepus_americanus_24092	24092	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010023172.1	-	0	23000	23408	LTR[RELIK(-)]	409
Lepus_americanus_24160	24160	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010030299.1	+	0	5983	6391	LTR[RELIK(+)]	409
Lepus_americanus_24765	24765	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010017954.1	+	0	1131	1541	LTR[RELIK(+)]	411
Lepus_americanus_24327	24327	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010020826.1	+	0	216	627	LTR[RELIK(+)]	412
Lepus_americanus_24494	24494	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010056013.1	-	0	7185	7596	LTR[RELIK(-)]	412
Lepus_americanus_24108	24108	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010008286.1	+	0	22913	23325	LTR[RELIK(+)]	413
Lepus_americanus_24318	24318	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010247098.1	-	0	1066	1478	LTR[RELIK(-)]	413
Lepus_americanus_24721	24721	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010062494.1	+	0	3664	4078	LTR[RELIK(+)]	415
Lepus_americanus_24463	24463	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010013491.1	-	0	33996	34411	LTR[RELIK(-)]	416
Lepus_americanus_24582	24582	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010026269.1	+	0	2412	2827	LTR[RELIK(+)]-LTR[RELIK(+)]	416
Lepus_americanus_24632	24632	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010135616.1	-	0	1016	1431	LTR[RELIK(-)]	416
Lepus_americanus_24648	24648	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010056499.1	+	0	1994	2413	LTR[RELIK(+)]	420
Lepus_americanus_24338	24338	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010008852.1	-	0	4730	5150	LTR[RELIK(-)]	421
Lepus_americanus_24528	24528	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010003728.1	-	0	53162	53583	LTR[RELIK(-)]	422
Lepus_americanus_24224	24224	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010011950.1	+	0	3009	3432	LTR[RELIK(+)]	424
Lepus_americanus_24109	24109	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010014941.1	-	0	25846	26274	LTR[RELIK(-)]	429
Lepus_americanus_24178	24178	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010033081.1	-	0	696	1124	LTR[RELIK(-)]	429
Lepus_americanus_24045	24045	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010020834.1	+	0	13886	14316	LTR[RELIK(+)]	431
Lepus_americanus_24421	24421	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010033849.1	+	0	5425	5857	LTR[RELIK(+)]	433
Lepus_americanus_24400	24400	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010086741.1	+	0	540	977	LTR[RELIK(+)]	438
Lepus_americanus_24557	24557	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010053334.1	+	0	954	1392	LTR[RELIK(+)]	439
Lepus_americanus_24384	24384	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010067152.1	-	0	1620	2060	LTR[RELIK(-)]	441
Lepus_americanus_24560	24560	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010001352.1	+	0	39212	39652	LTR[RELIK(+)]	441
Lepus_americanus_24436	24436	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010046232.1	-	0	1581	2026	LTR[RELIK(-)]	446
Lepus_americanus_24112	24112	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010001096.1	-	0	15420	15866	LTR[RELIK(-)]	447
Lepus_americanus_24447	24447	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010011234.1	+	0	11291	11737	LTR[RELIK(+)]	447
Lepus_americanus_24652	24652	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010066416.1	-	0	1614	2060	LTR[RELIK(-)]	447
Lepus_americanus_24503	24503	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010069504.1	+	0	6580	7028	LTR[RELIK(+)]	449
Lepus_americanus_24566	24566	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010054085.1	+	0	7575	8023	LTR[RELIK(+)]	449
Lepus_americanus_24756	24756	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010016500.1	+	0	20709	21158	LTR[RELIK(+)]	450
Lepus_americanus_24387	24387	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010034212.1	-	0	4679	5133	LTR[RELIK(-)]	455
Lepus_americanus_24610	24610	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010032561.1	-	0	20697	21151	LTR[RELIK(-)]	455
Lepus_americanus_24525	24525	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010069038.1	+	0	8204	8659	LTR[RELIK(+)]	456
Lepus_americanus_24546	24546	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010043866.1	-	0	6639	7094	LTR[RELIK(-)]	456
Lepus_americanus_24751	24751	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010079287.1	+	0	5793	6248	LTR[RELIK(+)]	456
Lepus_americanus_24213	24213	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010067592.1	+	0	8346	8804	LTR[RELIK(+)]	459
Lepus_americanus_24688	24688	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010403283.1	-	0	110	568	LTR[RELIK(-)]	459
Lepus_americanus_24394	24394	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010035190.1	+	0	19364	19824	LTR[RELIK(+)]	461
Lepus_americanus_24407	24407	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010127727.1	+	0	2874	3334	LTR[RELIK(+)]	461
Lepus_americanus_24736	24736	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010109483.1	-	0	293	753	LTR[RELIK(-)]	461
Lepus_americanus_24682	24682	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010301896.1	-	0	110	571	LTR[RELIK(-)]	462
Lepus_americanus_24022	24022	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010534119.1	+	0	1	471	pol[RELIK(+)]	471
Lepus_americanus_24096	24096	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010001896.1	-	0	73330	73809	LTR[RELIK(-)]	480
Lepus_americanus_24534	24534	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010007266.1	+	0	25872	26355	LTR[RELIK(+)]	484
Lepus_americanus_24571	24571	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010000877.1	+	0	69671	70155	LTR[RELIK(+)]	485
Lepus_americanus_24740	24740	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010000760.1	-	0	63445	63929	LTR[RELIK(-)]	485
Lepus_americanus_24530	24530	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010010882.1	+	0	6190	6675	LTR[RELIK(+)]	486
Lepus_americanus_24272	24272	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010380196.1	+	0	376	866	LTR[RELIK(+)]	491
Lepus_americanus_24437	24437	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010449426.1	+	0	161	651	LTR[RELIK(+)]	491
Lepus_americanus_24440	24440	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010048545.1	+	0	12121	12613	LTR[RELIK(+)]	493
Lepus_americanus_24604	24604	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010053903.1	+	0	9832	10324	LTR[RELIK(+)]	493
Lepus_americanus_24788	24788	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010324702.1	+	0	1	493	LTR[RELIK(+)]	493
Lepus_americanus_24052	24052	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010031016.1	-	0	9926	10419	LTR[RELIK(-)]	494
Lepus_americanus_24028	24028	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010264399.1	-	0	244	739	LTR[RELIK(-)]	496
Lepus_americanus_24704	24704	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010029544.1	+	0	11300	11795	LTR[RELIK(+)]	496
Lepus_americanus_24464	24464	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010106238.1	+	0	297	794	LTR[RELIK(+)]	498
Lepus_americanus_24576	24576	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010378083.1	+	0	20	517	LTR[RELIK(+)]	498
Lepus_americanus_24495	24495	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010004564.1	+	0	37187	37689	LTR[RELIK(+)]	503
Lepus_americanus_24145	24145	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010007772.1	+	0	1916	2436	LTR[RELIK(+)]	521
Lepus_americanus_24362	24362	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010257665.1	-	0	937	1497	LTR[RELIK(-)]-rev[RELIK(-)]	561
Lepus_americanus_24646	24646	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010434046.1	-	0	1	693	pol[RELIK(-)]	693
Lepus_americanus_24190	24190	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010376242.1	-	0	26	737	env[RELIK(-)]	712
Lepus_americanus_24064	24064	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010404779.1	-	0	54	777	gag[RELIK(-)]-LTR[RELIK(-)]	724
Lepus_americanus_24340	24340	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010397540.1	-	0	2	804	gag[RELIK(-)]-LTR[RELIK(-)]	803
Lepus_americanus_24672	24672	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010368713.1	+	0	2	910	env[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]	909
Lepus_americanus_24392	24392	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010346407.1	+	0	24	938	pol[RELIK(+)]	915
Lepus_americanus_24068	24068	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010091048.1	+	0	6287	7208	LTR[RELIK(+)]-gag[RELIK(+)]	922
Lepus_americanus_24656	24656	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010331894.1	-	0	46	1039	gag[RELIK(-)]	994
Lepus_americanus_24707	24707	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010315435.1	+	0	101	1094	gag[RELIK(+)]	994
Lepus_americanus_24361	24361	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010345096.1	-	0	2	998	pol[RELIK(-)]	997
Lepus_americanus_24127	24127	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010343534.1	+	0	2	1006	pol[RELIK(+)]	1005
Lepus_americanus_24442	24442	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010185452.1	-	0	2	1077	gag[RELIK(-)]-LTR[RELIK(-)]	1076
Lepus_americanus_24539	24539	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010301069.1	+	0	17	1093	gag[RELIK(+)]	1077
Lepus_americanus_24735	24735	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010225818.1	+	0	2	1089	env[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]	1088
Lepus_americanus_24218	24218	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010132521.1	-	0	2812	3963	env[RELIK(-)]-pol[RELIK(-)]	1152
Lepus_americanus_24561	24561	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010266879.1	+	0	106	1324	env[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]	1219
Lepus_americanus_24061	24061	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010238219.1	-	0	11	1294	gag[RELIK(-)]	1284
Lepus_americanus_24631	24631	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010128007.1	-	0	2506	3891	env[RELIK(-)]-pol[RELIK(-)]	1386
Lepus_americanus_24520	24520	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010240434.1	-	0	110	1646	pol[RELIK(-)]-pol[RELIK(-)]	1537
Lepus_americanus_24607	24607	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010104259.1	+	0	3	1654	pol[RELIK(+)]-env[RELIK(+)]	1652
Lepus_americanus_24104	24104	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010226908.1	+	0	128	1783	pol[RELIK(+)]	1656
Lepus_americanus_24122	24122	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010088327.1	+	0	2697	4739	gag[RELIK(+)]-env[RELIK(+)]	2043
Lepus_americanus_24121	24121	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010146895.1	+	0	1072	3186	pol[RELIK(+)]	2115
Lepus_americanus_24176	24176	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010008346.1	-	0	5017	7192	env[RELIK(-)]-gag[RELIK(-)]	2176
Lepus_americanus_24741	24741	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010053582.1	+	0	734	2981	env[RELIK(+)]	2248
Lepus_americanus_24409	24409	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010181729.1	-	0	66	2450	env[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]	2385
Lepus_americanus_24214	24214	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010009710.1	+	0	40767	43522	gag[RELIK(+)]-pol[RELIK(+)]	2756
Lepus_americanus_24023	24023	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010050045.1	-	0	443	3214	LTR[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]	2772
Lepus_americanus_24542	24542	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010046403.1	-	0	4491	7443	env[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]	2953
Lepus_americanus_24467	24467	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010020979.1	-	0	14123	17541	env[RELIK(-)]-env[RELIK(-)]-gag[RELIK(-)]-gag[RELIK(-)]	3419
Lepus_americanus_24415	24415	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010026092.1	+	0	4862	8328	gag[RELIK(+)]-gag[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]	3467
Lepus_americanus_24343	24343	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010011928.1	+	0	36006	39494	pol[RELIK(+)]	3489
Lepus_americanus_24170	24170	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010096262.1	+	0	3067	6613	LTR[RELIK(+)]-pol[RELIK(+)]	3547
Lepus_americanus_24524	24524	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010019645.1	+	0	11509	15249	pol[RELIK(+)]-Vif[RELIK(+)]-env[RELIK(+)]-rev[RELIK(+)]	3741
Lepus_americanus_24114	24114	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010070084.1	+	0	1550	5310	pol[RELIK(+)]-Vif[RELIK(+)]-env[RELIK(+)]-rev[RELIK(+)]	3761
Lepus_americanus_24056	24056	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010018723.1	+	0	8436	12375	pol[RELIK(+)]-Vif[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]	3940
Lepus_americanus_24580	24580	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010063072.1	-	0	1274	5226	gag[RELIK(-)]	3953
Lepus_americanus_24267	24267	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010111286.1	-	0	1181	5163	pol[RELIK(-)]-gag[RELIK(-)]	3983
Lepus_americanus_24595	24595	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010035557.1	-	0	708	4922	env[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]	4215
Lepus_americanus_24279	24279	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010037697.1	-	0	8916	13256	env[RELIK(-)]-env[RELIK(-)]-gag[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]	4341
Lepus_americanus_24497	24497	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010121669.1	+	0	4	4457	gag[RELIK(+)]-env[RELIK(+)]	4454
Lepus_americanus_24379	24379	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010020356.1	+	0	23828	28761	LTR[RELIK(+)]-gag[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]-LTR[RELIK(+)]	4934
Lepus_americanus_24371	24371	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010003657.1	-	0	43161	48354	env[RELIK(-)]-gag[RELIK(-)]	5194
