sequenceID	record_ID	organism	virus_subgenus	virus_clade	assigned_name	assigned_gene	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches
2978741_Lepus_americanus	2978741	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010001096.1	15420	15866	447	-	595	90.848	3	174	47	493	1	444	448	4	36
2978817_Lepus_americanus	2978817	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010001352.1	39212	39652	441	+	518	91.003	7	151	108	496	61	441	389	3	27
2978776_Lepus_americanus	2978776	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010001734.1	21089	21453	365	+	466	89.918	2	135	135	496	1	365	367	3	30
2978730_Lepus_americanus	2978730	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010001896.1	73330	73809	480	-	652	90.946	0	1	1	496	1	480	497	6	27
2978775_Lepus_americanus	2978775	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010002035.1	53291	53553	263	+	257	84.906	1	72	241	496	1	263	265	7	29
2978697_Lepus_americanus	2978697	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010002846.1	31849	32163	315	-	370	87.85	2	106	178	496	1	315	321	5	31
2978691_Lepus_americanus	2978691	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010003553.1	1	123	123	+	189	94.309	2	52	374	496	1	123	123	0	7
2647584_Lepus_americanus	2647584	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010003657.1	43161	48043	4883	-	854	80.274	0	1	290	870	3109	4851	583	4	111
1239905_Lepus_americanus	1239905	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010003657.1	48106	48354	249	-	122	86.747	10	36	1	83	1	249	83	0	11
2978657_Lepus_americanus	2978657	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010003728.1	53162	53583	422	-	525	89.252	4	153	47	468	1	422	428	3	34
2978748_Lepus_americanus	2978748	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010004328.1	39430	39911	482	+	510	85.885	1	148	1	496	1	482	503	2	43
2647607_Lepus_americanus	2647607	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010004328.1	40009	44394	4386	+	610	64.234	0	1	520	1038	2821	4386	548	12	141
1433359_Lepus_americanus	1433359	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010004328.1	44441	45101	661	+	112	94.643	2	29	1054	1109	1	168	56	0	3
1433360_Lepus_americanus	1433360	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010004328.1	45486	46593	1108	+	375	90.135	0	1	606	828	440	1108	223	0	22
2978670_Lepus_americanus	2978670	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010004328.1	47729	48094	366	+	492	91.257	4	143	136	494	1	366	366	1	25
2978714_Lepus_americanus	2978714	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010004564.1	37187	37689	503	+	712	92.46	0	1	1	496	1	503	504	4	29
2978700_Lepus_americanus	2978700	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010004701.1	50244	50556	313	+	374	88.217	1	107	183	496	1	313	314	1	36
2978819_Lepus_americanus	2978819	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010007266.1	25872	26355	484	+	424	90.881	2	122	47	364	1	315	318	2	26
2978728_Lepus_americanus	2978728	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010007764.1	31664	31745	82	+	130	95.122	7	35	241	322	1	82	82	0	4
2978721_Lepus_americanus	2978721	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010007772.1	1916	2436	521	+	573	87.452	2	167	1	496	1	521	526	13	31
2978801_Lepus_americanus	2978801	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010008286.1	22913	23325	413	+	422	94.203	6	122	47	322	1	276	276	0	16
1433324_Lepus_americanus	1433324	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010008346.1	5017	5529	513	-	134	41.618	1	37	656	827	1	513	173	3	98
2568489_Lepus_americanus	2568489	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010008346.1	6409	7192	784	-	238	66.265	3	92	258	421	266	763	166	1	54
2978782_Lepus_americanus	2978782	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010008418.1	46064	46418	355	+	438	91.304	5	127	1	322	1	321	322	1	27
2978780_Lepus_americanus	2978780	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010008577.1	2059	2319	261	-	366	91.954	2	105	236	496	1	261	261	0	21
2978727_Lepus_americanus	2978727	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010008588.1	2818	2917	100	+	102	85.149	2	26	221	321	1	100	101	1	14
2978815_Lepus_americanus	2978815	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010008852.1	4730	5150	421	-	300	87.143	3	85	47	322	21	284	280	5	16
2978788_Lepus_americanus	2978788	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010009492.1	25650	26008	359	-	350	95.045	2	100	101	322	1	222	222	0	11
2568498_Lepus_americanus	2568498	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010009710.1	40767	42211	1445	+	322	64.925	2	155	215	477	642	1445	268	3	89
2647596_Lepus_americanus	2647596	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010009710.1	42255	43522	1268	+	494	71.81	8	172	62	397	1	1008	337	2	93
2978708_Lepus_americanus	2978708	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010010672.1	7889	8207	319	+	429	90.909	3	124	178	496	1	319	319	0	29
2978692_Lepus_americanus	2978692	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010010882.1	6190	6675	486	+	630	89.96	0	1	1	496	1	486	498	5	36
2978713_Lepus_americanus	2978713	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010011141.1	32773	33148	376	+	435	87.371	7	126	109	496	1	376	388	5	37
2978769_Lepus_americanus	2978769	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010011234.1	11291	11737	447	+	586	90.244	2	171	46	496	1	447	451	1	40
2647617_Lepus_americanus	2647617	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010011928.1	36006	39494	3489	+	747	86.596	0	1	212	681	1673	3076	470	2	61
2978808_Lepus_americanus	2978808	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010011950.1	3009	3432	424	+	366	90.493	3	105	47	322	1	283	284	3	18
2978743_Lepus_americanus	2978743	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010012127.1	19672	19987	316	-	420	90.596	2	121	178	496	1	316	319	3	27
2978781_Lepus_americanus	2978781	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010013136.1	16044	16443	400	-	333	93.363	3	95	135	359	1	226	226	1	14
2978806_Lepus_americanus	2978806	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010013491.1	33996	34411	416	-	265	88.053	1	74	268	493	191	413	226	2	24
2978778_Lepus_americanus	2978778	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010014105.1	27752	28141	390	-	499	90.051	2	145	112	496	1	390	392	3	30
2978710_Lepus_americanus	2978710	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010014760.1	16214	16471	258	+	315	88.55	6	90	235	496	1	258	262	3	26
2978794_Lepus_americanus	2978794	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010014941.1	25846	26274	429	-	292	84.984	5	83	17	322	1	292	313	7	19
2978690_Lepus_americanus	2978690	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010015393.1	31775	31961	187	-	147	81.25	2	39	257	444	1	187	192	9	27
2978702_Lepus_americanus	2978702	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010016500.1	20709	21158	450	+	654	92.905	0	1	47	496	1	450	451	2	30
2978796_Lepus_americanus	2978796	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010017954.1	1131	1541	411	+	291	85.866	2	82	47	322	1	279	283	3	29
2978703_Lepus_americanus	2978703	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010018528.1	30231	30615	385	+	484	89.223	7	141	99	496	1	385	399	3	28
2978679_Lepus_americanus	2978679	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010018683.1	4380	4696	317	+	355	86.834	4	102	178	496	1	317	319	2	40
2647594_Lepus_americanus	2647594	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010018723.1	8436	8789	354	+	177	68.644	9	54	954	1071	1	354	118	0	37
1433282_Lepus_americanus	1433282	Lepus_americanus	Non-primate	Lagomorph	RELIK	Vif	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010018723.1	9035	9292	258	+	152	86.047	5	51	1	86	1	258	86	0	12
1433348_Lepus_americanus	1433348	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010018723.1	9415	10088	674	+	320	92.737	2	105	1	179	138	674	179	0	13
1433342_Lepus_americanus	1433342	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010018723.1	10409	12375	1967	+	425	92.05	0	1	316	553	425	1141	239	1	18
1433326_Lepus_americanus	1433326	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010018742.1	1355	1486	132	-	83	88.636	6	22	765	808	1	132	44	0	5
1433351_Lepus_americanus	1433351	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010018742.1	1944	3241	1298	-	252	93.293	5	112	607	769	807	1298	164	1	10
2647615_Lepus_americanus	2647615	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010018742.1	3511	4383	873	-	546	93.22	0	1	793	1085	1	864	295	4	11
2210342_Lepus_americanus	2210342	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010018742.1	5783	6190	408	-	252	94.815	3	80	661	795	1	405	135	0	7
2647611_Lepus_americanus	2647611	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010018742.1	6204	9208	3005	-	301	93.506	0	1	218	371	1698	2159	154	0	10
1239915_Lepus_americanus	1239915	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010018742.1	9273	9446	174	-	113	93.103	6	33	1	58	1	174	58	0	4
2979033_Lepus_americanus	2979033	Lepus_americanus	Non-primate	Lagomorph	RELIK	LEA	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010018742.1	9447	9543	97	-	137	92	5	37	1	100	1	97	100	1	5
2978662_Lepus_americanus	2978662	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010018951.1	5123	5433	311	-	359	87.5	3	103	186	496	1	311	312	2	37
2978760_Lepus_americanus	2978760	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010019389.1	26857	27017	161	+	248	94.41	4	70	336	496	1	161	161	0	9
2978765_Lepus_americanus	2978765	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010019462.1	1294	1445	152	+	276	99.342	2	78	271	422	1	152	152	0	1
2647597_Lepus_americanus	2647597	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010019645.1	11509	11916	408	+	175	61.029	8	53	954	1089	1	408	136	0	53
1433280_Lepus_americanus	1433280	Lepus_americanus	Non-primate	Lagomorph	RELIK	Vif	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010019645.1	12103	12360	258	+	121	84.884	9	39	1	86	1	258	86	0	13
1433347_Lepus_americanus	1433347	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010019645.1	12483	15102	2620	+	789	75.292	0	1	247	828	875	2620	599	5	114
2978739_Lepus_americanus	2978739	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010020356.1	23828	23966	139	+	124	82.979	6	33	186	324	1	139	141	4	20
2568505_Lepus_americanus	2568505	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010020356.1	24582	26267	1686	+	293	48.469	4	94	17	396	1	1128	392	7	174
1433319_Lepus_americanus	1433319	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010020356.1	27323	27673	351	+	117	49.573	1	32	640	755	1	351	117	1	58
2978750_Lepus_americanus	2978750	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010020356.1	28552	28761	210	+	158	80.734	9	43	186	397	1	210	218	14	28
2978809_Lepus_americanus	2978809	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010020826.1	216	627	412	+	388	92.115	6	112	47	322	1	277	279	3	17
2978722_Lepus_americanus	2978722	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010020834.1	13886	14316	431	+	580	90.766	9	170	47	490	1	431	444	1	28
1433320_Lepus_americanus	1433320	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010020979.1	14123	15166	1044	-	223	42.938	3	67	485	828	1	1044	354	6	186
1433333_Lepus_americanus	1433333	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010020979.1	15279	16052	774	-	152	33.692	5	43	144	416	1	774	279	8	158
2568490_Lepus_americanus	2568490	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010020979.1	16334	17197	864	-	318	58.503	1	107	138	421	7	843	294	5	97
1239924_Lepus_americanus	1239924	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010020979.1	17251	17541	291	-	110	61.224	5	31	22	119	1	291	98	1	37
2978693_Lepus_americanus	2978693	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010021665.1	9106	9433	328	-	377	87.538	10	109	171	496	1	328	329	4	37
2978682_Lepus_americanus	2978682	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010022642.1	14600	15007	408	+	436	86.765	2	126	109	496	1	408	408	5	34
2647574_Lepus_americanus	2647574	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010023064.1	14561	17485	2925	+	479	63.889	0	1	129	546	1648	2886	432	8	123
2647601_Lepus_americanus	2647601	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010023064.1	18612	20357	1746	+	394	90.654	0	1	896	1109	979	1620	214	0	20
1433334_Lepus_americanus	1433334	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010023064.1	20614	22143	1530	+	735	78.154	0	1	310	826	1	1530	531	5	81
2978767_Lepus_americanus	2978767	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010023172.1	23000	23408	409	-	527	90.12	1	153	47	454	1	409	415	4	28
2978738_Lepus_americanus	2978738	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010023726.1	23395	23555	161	-	220	91.304	8	62	336	496	1	161	161	0	14
