taxon	sequenceID	pubmed_id	name	isolate	country	collection_year
alignment/AL_SRLV_A/member/ncbi-curated-srlv/HQ158134	HQ158134	21639904	Small ruminant lentivirus	O23F-18	Canada	2004
alignment/AL_SRLV_A/member/ncbi-curated-srlv/HQ158135	HQ158135	21639904	Small ruminant lentivirus	O23117	Canada	2004
alignment/AL_SRLV_A/member/ncbi-curated-srlv/HQ158136	HQ158136	21639904	Small ruminant lentivirus	O5A-34	Canada	2004
alignment/AL_SRLV_A/member/ncbi-curated-srlv/HQ848062	HQ848062	21940116	Visna-maedi virus	OMVV 697	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184351	JN184351	23375019	Small ruminant lentivirus	72	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184352	JN184352	23375019	Small ruminant lentivirus	160	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184353	JN184353	23375019	Small ruminant lentivirus	166	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184354	JN184354	23375019	Small ruminant lentivirus	292	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184355	JN184355	23375019	Small ruminant lentivirus	333	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184356	JN184356	23375019	Small ruminant lentivirus	336	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184357	JN184357	23375019	Small ruminant lentivirus	358	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184358	JN184358	23375019	Small ruminant lentivirus	368	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184359	JN184359	23375019	Small ruminant lentivirus	698	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184362	JN184362	23375019	Small ruminant lentivirus	78	Spain	2005
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184363	JN184363	23375019	Small ruminant lentivirus	2843ES	Spain	2002
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184364	JN184364	23375019	Small ruminant lentivirus	5776	Spain	2002
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184365	JN184365	23375019	Small ruminant lentivirus	13504	Spain	2002
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184366	JN184366	23375019	Small ruminant lentivirus	971092	Spain	2002
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184367	JN184367	23375019	Small ruminant lentivirus	5485DP	Spain	2002
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184368	JN184368	23375019	Small ruminant lentivirus	3714	Spain	2002
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184369	JN184369	23375019	Small ruminant lentivirus	N-376a	Spain	2004
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184370	JN184370	23375019	Small ruminant lentivirus	N-378	Spain	2004
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184371	JN184371	23375019	Small ruminant lentivirus	8152	Spain	2002
alignment/AL_SRLV_A/member/ncbi-curated-srlv/JN184372	JN184372	23375019	Small ruminant lentivirus	BL5761	Spain	2002
alignment/AL_SRLV_A/member/ncbi-curated-srlv/M31646	M31646	2158181	Ovine lentivirus	SA-OMVV	South Africa	1976
alignment/AL_SRLV_A/member/ncbi-curated-srlv/S51392	S51392	1651983	Visna/maedi virus EV1	EV1	United Kingdon	1984
